id,Statement,Code,WVS question
001-01,Family is very important in my life.,1,Q1
001-02,Family is rather important in my life.,2,Q1
001-03,Family is not very important in my life.,3,Q1
001-04,Family is not at all important in my life.,4,Q1
002-01,Friends are very important in my life.,1,Q2
002-02,Friends are rather important in my life.,2,Q2
002-03,Friends are not very important in my life.,3,Q2
002-04,Friends are not at all important in my life.,4,Q2
003-01,Leisure time is very important in my life.,1,Q3
003-02,Leisure time is rather important in my life.,2,Q3
003-03,Leisure time is not very important in my life.,3,Q3
003-04,Leisure time is not at all important in my life.,4,Q3
004-01,Politics are very important in my life.,1,Q4
004-02,Politics are rather important in my life.,2,Q4
004-03,Politics are not very important in my life.,3,Q4
004-04,Politics are not at all important in my life.,4,Q4
005-01,Work is very important in my life.,1,Q5
005-02,Work is rather important in my life.,2,Q5
005-03,Work is not very important in my life.,3,Q5
005-04,Work is not at all important in my life.,4,Q5
006-01,Religion is very important in my life.,1,Q6
006-02,Religion is rather important in my life.,2,Q6
006-03,Religion is not very important in my life.,3,Q6
006-04,Religion is not at all important in my life.,4,Q6
027-01,Making my parents proud has always been my primary goal in life.,1,Q27
027-02,One of my goals in life has been to make my parents proud.,2,Q27
027-03,Making my parents proud has rarely been among my main goals in life.,3,Q27
027-04,Making my parents proud has never been a goal of mine in life.,4,Q27
028-01,"When a mother works for pay, the children inevitably suffer.",1,Q28
028-02,"When a mother works for pay, the children tend to suffer.",2,Q28
028-03,"When a mother works for pay, the children don't necessarily suffer.",3,Q28
028-04,"When a mother works for pay, the children do not suffer.",4,Q28
029-01,Men unquestionably make better political leaders than women do.,1,Q29
029-02,Men generally make better political leaders than women do.,2,Q29
029-03,Men don't really make better political leaders than women do.,3,Q29
029-04,Men absolutely do not make better political leaders than women do.,4,Q29
030-01,A university education is far more important for a boy than for a girl.,1,Q30
030-02,A university education is somewhat more important for a boy than for a girl.,2,Q30
030-03,A university education is not really more important for a boy than for a girl.,3,Q30
030-04,A university education is not at all more important for a boy than for a girl.,4,Q30
031-01,Men are definitively better business executives than women.,1,Q31
031-02,Men do tend to make somewhat better business executives than women.,2,Q31
031-03,"Men don't really make better business executives than women, on the whole.",3,Q31
031-04,Men are in no way better business executives than women.,4,Q31
032-01,Being a housewife is every bit as fulfilling as working for pay.,1,Q32
032-02,Being a housewife can be just as fulfilling as working for pay.,2,Q32
032-03,Being a housewife is not quite as fulfilling as working for pay.,3,Q32
032-04,Being a housewife is nowhere near as fulfilling as working for pay.,4,Q32
033-01,"When jobs are scarce, men absolutely should have more right to a job than women.",1,Q33
033-02,"When jobs are scarce, men should probably have more right to a job than women.",2,Q33
033-03,"When jobs are scarce, it is unclear whether men should have more right to a job than women.",3,Q33
033-04,"When jobs are scarce, men should probably not have more right to a job than women.",4,Q33
033-05,"When jobs are scarce, men should absolutely not have more right to a job than women.",5,Q33
034-01,"When jobs are scarce, employers must absolutely give priority to people of this country over immigrants.",1,Q34
034-02,"When jobs are scarce, employers should probably give priority to people of this country over immigrants.",2,Q34
034-03,"When jobs are scarce, it is debatable whether employers should give priority to people of this country over immigrants.",3,Q34
034-04,"When jobs are scarce, employers should not necessarily give priority to people of this country over immigrants.",4,Q34
034-05,"When jobs are scarce, employers should under no circumstances give priority to people of this country over immigrants.",5,Q34
035-01,"If a woman earns more money than her husband, it will almost certainly cause problems.",1,Q35
035-02,"If a woman earns more money than her husband, it may well cause problems.",2,Q35
035-03,"If a woman earns more money than her husband, it may or may not cause problems.",3,Q35
035-04,"If a woman earns more money than her husband, it isn't necessarily going to cause problems.",4,Q35
035-05,"If a woman earns more money than her husband, it is almost certain not to cause problems.",5,Q35
036-01,Homosexual couples are undoubtedly as good parents as other couples.,1,Q36
036-02,Homosexual couples are generally as good parents as other couples.,2,Q36
036-03,Homosexual couples may or may not be as good parents as other couples.,3,Q36
036-04,Homosexual couples are not always as good parents as other couples.,4,Q36
036-05,Homosexual couples are not as good parents as other couples.,5,Q36
037-01,It is an absolute duty towards society to have children.,1,Q37
037-02,It is arguably a duty towards society to have children.,2,Q37
037-03,Whether having children is a duty towards society is debatable.,3,Q37
037-04,Having children is not necessarily a duty towards society.,4,Q37
037-05,Having children is in no way a duty towards society.,5,Q37
038-01,Adult children absolutely have the duty to provide long-term care for their parents.,1,Q38
038-02,Adult children generally have the duty to provide long-term care for their parents.,2,Q38
038-03,Adult children may or may not have the duty to provide long-term care for their parents.,3,Q38
038-04,Adult children don't necessarily have the duty to provide long-term care for their parents.,4,Q38
038-05,Adult children have no duty to provide long-term care for their parents.,5,Q38
039-01,People who don't work inevitably turn lazy.,1,Q39
039-02,People who don't work tend to turn lazy.,2,Q39
039-03,People who don't work may or may not turn lazy.,3,Q39
039-04,People who don't work don't necessarily turn lazy.,4,Q39
039-05,People who don't work do not turn lazy.,5,Q39
040-01,Work is absolutely a duty towards society.,1,Q40
040-02,Work is indeed a duty towards society.,2,Q40
040-03,Work may or may not be a duty towards society.,3,Q40
040-04,Work is not necessarily a duty towards society.,4,Q40
040-05,Work is absolutely not a duty towards society.,5,Q40
046-01,I am very happy.,1,Q46
046-02,I am rather happy.,2,Q46
046-03,I am not very happy.,3,Q46
046-04,I am not happy at all.,4,Q46
047-01,My health is in very good shape.,1,Q47
047-02,My health is in good shape.,2,Q47
047-03,My health is in fair shape.,3,Q47
047-04,My health is in poor shape.,4,Q47
047-05,My health is in very poor shape.,5,Q47
048-01,"My life feels entirely determined by forces beyond my control, and my choices make no difference whatsoever.",1,Q48
048-02,"I rarely feel my decisions matter, as outside forces almost always dictate how my life unfolds.",2,Q48
048-03,"While I can make small choices, I generally feel that larger outcomes in my life are shaped by circumstances I can't control.",3,Q48
048-04,"I have some sense of agency, but more often than not I feel that things happen to me rather than because of me.",4,Q48
048-05,I feel equally pushed by external forces as I feel empowered by my own decisions.,5,Q48
048-06,"I feel my choices generally shape my life, though external factors still limit my control more than I'd like.",6,Q48
048-07,"I feel mostly in control of my life, even if I sometimes encounter circumstances that constrain my choices.",7,Q48
048-08,"My decisions largely determine how my life unfolds, with only occasional outside forces meaningfully affecting my path.",8,Q48
048-09,"I feel a strong sense of control over my life, and what happens to me is almost always a result of my own choices.",9,Q48
048-10,"I feel entirely free to shape my life as I choose, and my decisions are the sole determinant of how it turns out.",10,Q48
049-01,"I feel completely empty inside, as if my life has nothing meaningful to offer me.",1,Q49
049-02,"I struggle deeply with my life, finding little that brings me genuine satisfaction.",2,Q49
049-03,"I'm mostly unhappy with how my life has turned out, though a few things keep me going.",3,Q49
049-04,"I'm more dissatisfied than not, and feel like something important is still missing.",4,Q49
049-05,"I feel neither satisfied nor dissatisfied (my life feels just okay, nothing more).",5,Q49
049-06,"I'm somewhat content with my life, even though there's still room for improvement.",6,Q49
049-07,"I'm fairly satisfied overall, with more good in my life than bad.",7,Q49
049-08,I feel quite good about my life and enjoy most of what it has to offer.,8,Q49
049-09,"I'm very satisfied with my life, with only minor things I'd wish were different.",9,Q49
049-10,"I feel completely fulfilled, grateful for every aspect of my life as it is.",10,Q49
050-01,I am completely dissatisfied with the financial situation of our household.,1,Q50
050-02,I am very dissatisfied with the financial situation of our household.,2,Q50
050-03,I am quite dissatisfied with the financial situation of our household.,3,Q50
050-04,I am somewhat dissatisfied with the financial situation of our household.,4,Q50
050-05,I am neither satisfied nor dissatisfied with the financial situation of our household.,5,Q50
050-06,I am somewhat satisfied with the financial situation of our household.,6,Q50
050-07,I am quite satisfied with the financial situation of our household.,7,Q50
050-08,I am fairly satisfied with the financial situation of our household.,8,Q50
050-09,I am very satisfied with the financial situation of our household.,9,Q50
050-10,I am completely satisfied with the financial situation of our household.,10,Q50
051-01,"With my family, I have often gone without enough food to eat.",1,Q51
051-02,"With my family, I have sometimes gone without enough food to eat.",2,Q51
051-03,"With my family, I have rarely gone without enough food to eat.",3,Q51
051-04,"With my family, I have never gone without enough food to eat.",4,Q51
052-01,"With my family, I have often felt unsafe from crime in my home.",1,Q52
052-02,"With my family, I have sometimes felt unsafe from crime in my home.",2,Q52
052-03,"With my family, I have rarely felt unsafe from crime in my home.",3,Q52
052-04,"With my family, I have never felt unsafe from crime in my home.",4,Q52
053-01,"Often, my family and I have gone without medicine or medical treatment that we needed.",1,Q53
053-02,"Sometimes, my family and I have gone without medicine or medical treatment that we needed.",2,Q53
053-03,Rarely have my family and I gone without medicine or medical treatment that we needed.,3,Q53
053-04,My family and I have never gone without medicine or medical treatment that we needed.,4,Q53
054-01,"Often, with my family, I have gone without a cash income.",1,Q54
054-02,"Sometimes, with my family, I have gone without a cash income.",2,Q54
054-03,"Rarely, with my family, I have gone without a cash income.",3,Q54
054-04,"Never, with my family, I have gone without a cash income.",4,Q54
055-01,Often I have gone without a safe shelter over my head with my family.,1,Q55
055-02,Sometimes I have gone without a safe shelter over my head with my family.,2,Q55
055-03,Rarely have I gone without a safe shelter over my head with my family.,3,Q55
055-04,Never have I gone without a safe shelter over my head with my family.,4,Q55
058-01,I trust my family completely.,1,Q58
058-02,I somewhat trust my family.,2,Q58
058-03,I do not trust my family very much.,3,Q58
058-04,I do not trust my family at all.,4,Q58
059-01,I trust my neighborhood completely.,1,Q59
059-02,I trust my neighborhood somewhat.,2,Q59
059-03,I do not trust my neighborhood very much.,3,Q59
059-04,I do not trust my neighborhood at all.,4,Q59
060-01,I trust completely the people I know personally.,1,Q60
060-02,I somewhat trust the people I know personally.,2,Q60
060-03,I do not trust very much the people I know personally.,3,Q60
060-04,I do not trust at all the people I know personally.,4,Q60
061-01,I trust completely the people I meet for the first time.,1,Q61
061-02,I trust somewhat the people I meet for the first time.,2,Q61
061-03,I do not trust very much the people I meet for the first time.,3,Q61
061-04,I do not trust at all the people I meet for the first time.,4,Q61
062-01,I trust completely the people of another religion.,1,Q62
062-02,I trust somewhat the people of another religion.,2,Q62
062-03,I do not trust very much the people of another religion.,3,Q62
062-04,I do not trust at all the people of another religion.,4,Q62
063-01,I trust completely the people of another nationality.,1,Q63
063-02,I trust somewhat the people of another nationality.,2,Q63
063-03,I do not trust very much the people of another nationality.,3,Q63
063-04,I do not trust at all the people of another nationality.,4,Q63
064-01,I have a great deal of confidence in the churches.,1,Q64
064-02,I have quite a lot of confidence in the churches.,2,Q64
064-03,I don't have very much confidence in the churches.,3,Q64
064-04,I have no confidence in the churches at all.,4,Q64
065-01,I have a great deal of confidence in the armed forces.,1,Q65
065-02,I have quite a lot of confidence in the armed forces.,2,Q65
065-03,I don't have very much confidence in the armed forces.,3,Q65
065-04,I have no confidence in the armed forces at all.,4,Q65
066-01,I have a great deal of confidence in the press.,1,Q66
066-02,I have quite a lot of confidence in the press.,2,Q66
066-03,I don't have very much confidence in the press.,3,Q66
066-04,I have no confidence in the press at all.,4,Q66
067-01,I have a great deal of confidence in television.,1,Q67
067-02,I have quite a lot of confidence in television.,2,Q67
067-03,I don't have very much confidence in television.,3,Q67
067-04,I have no confidence in television at all.,4,Q67
068-01,I have a great deal of confidence in labor unions.,1,Q68
068-02,I have quite a lot of confidence in labor unions.,2,Q68
068-03,I don't have very much confidence in labor unions.,3,Q68
068-04,I have no confidence in labor unions at all.,4,Q68
069-01,I have a great deal of confidence in the police.,1,Q69
069-02,I have quite a lot of confidence in the police.,2,Q69
069-03,I don't have very much confidence in the police.,3,Q69
069-04,I have no confidence in the police at all.,4,Q69
070-01,I have a great deal of confidence in the courts.,1,Q70
070-02,I have quite a lot of confidence in the courts.,2,Q70
070-03,I don't have very much confidence in the courts.,3,Q70
070-04,I have no confidence in the courts at all.,4,Q70
071-01,I have a great deal of confidence in the government.,1,Q71
071-02,I have quite a lot of confidence in the government.,2,Q71
071-03,I don't have very much confidence in the government.,3,Q71
071-04,I have no confidence in the government at all.,4,Q71
072-01,I have a great deal of confidence in the political parties.,1,Q72
072-02,I have quite a lot of confidence in the political parties.,2,Q72
072-03,I don't have very much confidence in the political parties.,3,Q72
072-04,I have no confidence in the political parties at all.,4,Q72
073-01,I have a great deal of confidence in the parliament.,1,Q73
073-02,I have quite a lot of confidence in the parliament.,2,Q73
073-03,I don't have very much confidence in the parliament.,3,Q73
073-04,I have no confidence in the parliament at all.,4,Q73
074-01,I have a great deal of confidence in the civil service.,1,Q74
074-02,I have quite a lot of confidence in the civil service.,2,Q74
074-03,I don't have very much confidence in the civil service.,3,Q74
074-04,I have no confidence in the civil service at all.,4,Q74
075-01,I have a great deal of confidence in universities.,1,Q75
075-02,I have quite a lot of confidence in universities.,2,Q75
075-03,I don't have very much confidence in universities.,3,Q75
075-04,I have no confidence in universities at all.,4,Q75
076-01,I have a great deal of confidence in elections.,1,Q76
076-02,I have quite a lot of confidence in elections.,2,Q76
076-03,I don't have very much confidence in elections.,3,Q76
076-04,I have no confidence in elections at all.,4,Q76
077-01,I have a great deal of confidence in major companies.,1,Q77
077-02,I have quite a lot of confidence in major companies.,2,Q77
077-03,I don't have very much confidence in major companies.,3,Q77
077-04,I have no confidence in major companies at all.,4,Q77
078-01,I have a great deal of confidence in banks.,1,Q78
078-02,I have quite a lot of confidence in banks.,2,Q78
078-03,I don't have very much confidence in banks.,3,Q78
078-04,I have no confidence in banks at all.,4,Q78
079-01,I have a great deal of confidence in environmental organizations.,1,Q79
079-02,I have quite a lot of confidence in environmental organizations.,2,Q79
079-03,I do not have very much confidence in environmental organizations.,3,Q79
079-04,I have no confidence in environmental organizations at all.,4,Q79
080-01,I have a great deal of confidence in women's organizations.,1,Q80
080-02,I have quite a lot of confidence in women's organizations.,2,Q80
080-03,I do not have very much confidence in women's organizations.,3,Q80
080-04,I have no confidence in women's organizations at all.,4,Q80
081-01,I have a great deal of confidence in charitable or humanitarian organizations.,1,Q81
081-02,I have quite a lot of confidence in charitable or humanitarian organizations.,2,Q81
081-03,I do not have very much confidence in charitable or humanitarian organizations.,3,Q81
081-04,I have no confidence at all in charitable or humanitarian organizations.,4,Q81
090-01,"International organizations must prioritize effectiveness above all else, even at the cost of democratic processes.",1,Q90
090-02,"International organizations should be primarily driven by outcomes, with democratic considerations playing only a minor role.",2,Q90
090-03,"International organizations should lean toward effectiveness, though some degree of democratic input is worth maintaining.",3,Q90
090-04,"International organizations should focus more on effective results, while still giving meaningful weight to democratic principles.",4,Q90
090-05,"International organizations should balance effectiveness and democracy, but lean slightly toward tangible outcomes when forced to choose.",5,Q90
090-06,"International organizations should balance effectiveness and democracy, but lean slightly toward democratic accountability when forced to choose.",6,Q90
090-07,"International organizations should generally respect democratic principles, though effectiveness should not be entirely sacrificed.",7,Q90
090-08,"International organizations should be primarily guided by democratic values, even if this sometimes limits their effectiveness.",8,Q90
090-09,"International organizations should firmly uphold democratic standards, accepting reduced effectiveness as a necessary trade-off.",9,Q90
090-10,"International organizations must be fully democratic in their decision-making, regardless of the impact on their effectiveness.",10,Q90
106-01,Incomes must be equalized: a fair society cannot allow wealth gaps to determine people's outcomes.,1,Q106
106-02,"Strong income redistribution is essential, though small performance incentives may have a limited role.",2,Q106
106-03,"Equalizing incomes should be the priority, even if it means moderately reducing rewards for individual effort.",3,Q106
106-04,"I lean toward income equality, but I recognize that some incentives for effort are worth preserving.",4,Q106
106-05,"Income equality and individual incentives are both valid goals, and policy should carefully balance the two.",5,Q106
106-06,"Individual effort deserves reward, though some degree of income leveling remains socially important.",6,Q106
106-07,"Incentives for personal effort should take precedence, with only a modest safety net to limit extreme inequality.",7,Q106
106-08,"Greater rewards for individual effort are key to prosperity, and income redistribution should be kept minimal.",8,Q106
106-09,People should largely keep what they earn: strong incentives for effort matter far more than equal outcomes.,9,Q106
106-10,Incomes should reflect individual effort entirely: redistributing them undermines the drive that benefits everyone.,10,Q106
107-01,Private enterprise must be fully unleashed from government interference to drive prosperity.,1,Q107
107-02,"Business should remain predominantly in private hands, with only minimal state involvement.",2,Q107
107-03,"The private sector should lead the economy, though limited public ownership may have a role in specific areas.",3,Q107
107-04,"Private ownership should be the default, but some industries may warrant a degree of government stake.",4,Q107
107-05,"A balance between private and public ownership is acceptable, with a slight preference for market-driven solutions.",5,Q107
107-06,"Public and private ownership can coexist, though certain strategic sectors may benefit from greater state involvement.",6,Q107
107-07,"Government should take a more active ownership role in key industries, while leaving most others to private enterprise.",7,Q107
107-08,Expanding public ownership across major industries would better serve the common good than private control.,8,Q107
107-09,Most significant industries should be brought under government ownership to ensure they serve public interests.,9,Q107
107-10,Full public ownership of business and industry is necessary to put economic power in the hands of society.,10,Q107
108-01,"The government bears full responsibility for ensuring every citizen's basic needs are met, and individuals should not have to worry about providing for themselves.",1,Q108
108-02,"The government should take the lead in providing for people, though individuals can play a small supporting role in their own welfare.",2,Q108
108-03,"Government has a strong duty to provide for citizens, even if people can contribute somewhat to their own situation.",3,Q108
108-04,"While personal effort matters, the government should still shoulder most of the responsibility for people's well-being.",4,Q108
108-05,Government and individuals share roughly equal responsibility for ensuring people are provided for.,5,Q108
108-06,"Personal responsibility is somewhat more important than government support, though a meaningful safety net should remain.",6,Q108
108-07,"People should largely take care of themselves, with government stepping in only for those who genuinely cannot.",7,Q108
108-08,"Individuals bear most of the responsibility for their own provision, and government's role should be limited and targeted.",8,Q108
108-09,"Personal responsibility is paramount, and government involvement in providing for people should be minimal.",9,Q108
108-10,"Individuals are entirely responsible for providing for themselves, and it is not the government's role to ensure people's welfare.",10,Q108
109-01,"Competition is fundamentally good and drives progress, innovation, and the best outcomes for everyone.",1,Q109
109-02,"Competition is mostly beneficial, with only minor downsides that are far outweighed by its positive effects.",2,Q109
109-03,"Competition generally does more good than harm, even if it creates some friction along the way.",3,Q109
109-04,"The benefits of competition slightly outweigh its drawbacks, making it a net positive on balance.",4,Q109
109-05,"Competition has roughly equal upsides and downsides, and its value depends heavily on the context.",5,Q109
109-06,"The downsides of competition slightly outweigh its benefits, though it can still be useful in some areas.",6,Q109
109-07,"Competition tends to do more harm than good, fostering stress and inequality more than genuine progress.",7,Q109
109-08,"Competition is mostly harmful, benefiting only a few while placing undue burden on the majority.",8,Q109
109-09,"Competition is nearly always damaging, undermining cooperation and well-being in almost every context.",9,Q109
109-10,Competition is fundamentally harmful and should be replaced by systems built on cooperation and mutual support.,10,Q109
110-01,"Hard work is the surest path to a better life, and those who put in the effort will almost always reap the rewards.",1,Q110
110-02,"Hard work is the primary driver of success, even if luck and connections play a minor role on occasion.",2,Q110
110-03,"Sustained effort usually leads to a better life, though luck and connections can sometimes tip the scales.",3,Q110
110-04,"Hard work matters more than luck or connections, but external factors do influence outcomes more than we'd like to admit.",4,Q110
110-05,Hard work and luck or connections contribute about equally to success in life.,5,Q110
110-06,Luck and connections play a somewhat larger role than hard work in determining how life turns out.,6,Q110
110-07,"Success depends more on luck and connections than on effort, even though hard work is not entirely irrelevant.",7,Q110
110-08,Hard work alone rarely leads to success (who you know and fortunate circumstances matter considerably more).,8,Q110
110-09,"Success is mostly a matter of luck and connections, and hard work has little bearing on how life turns out for most people.",9,Q110
110-10,"Hard work has almost nothing to do with success, as life outcomes are determined almost entirely by luck and the connections you're born into.",10,Q110
112-01,Corruption is virtually unheard of here; people simply don't need to bribe or pull strings to get things done.,1,Q112
112-02,"Corruption exists in isolated cases, but it's the exception rather than the norm in how things get done.",2,Q112
112-03,"Occasionally, I hear of people using gifts or favors to move things along, though most dealings remain above board.",3,Q112
112-04,"Corruption surfaces here and there, and while it's not expected, it sometimes feels like a shortcut people quietly rely on.",4,Q112
112-05,"Bribes and favors are common enough that I'm not surprised when they come up, yet plenty of things still get done without them.",5,Q112
112-06,"It's increasingly hard to get certain things done without greasing the right wheels, and most people know it.",6,Q112
112-07,Corruption is widespread enough that going through unofficial channels often feels more reliable than official ones.,7,Q112
112-08,"Bribes, gifts, and favors are a routine part of navigating daily life here: expected, not exceptional.",8,Q112
112-09,Almost nothing gets done without some form of payment or personal favor; the system practically runs on it.,9,Q112
112-10,Corruption is so deeply embedded in every layer of society that legitimate channels feel almost pointless to use.,10,Q112
113-01,I believe none of the state authorities are involved in corruption.,1,Q113
113-02,I believe a few of the state authorities are involved in corruption.,2,Q113
113-03,I believe most of the state authorities are involved in corruption.,3,Q113
113-04,I believe all of the state authorities are involved in corruption.,4,Q113
114-01,I believe none of the business executives are involved in corruption.,1,Q114
114-02,I believe few business executives are involved in corruption.,2,Q114
114-03,I believe most business executives are involved in corruption.,3,Q114
114-04,I believe all business executives are involved in corruption.,4,Q114
115-01,I don't believe any local authorities are involved in corruption.,1,Q115
115-02,I believe a few local authorities are involved in corruption.,2,Q115
115-03,I believe most local authorities are involved in corruption.,3,Q115
115-04,I believe all local authorities are involved in corruption.,4,Q115
116-01,"I believe none of the civil servants, police officers, judges, doctors, or teachers are involved in corruption.",1,Q116
116-02,"I believe a few civil servants, police officers, judges, doctors, or teachers are involved in corruption.",2,Q116
116-03,"I believe most civil servants, police officers, judges, doctors, or teachers are involved in corruption.",3,Q116
116-04,"I believe all civil servants, police officers, judges, doctors, or teachers are involved in corruption.",4,Q116
117-01,I don't believe any journalists or media figures are involved in corruption.,1,Q117
117-02,I believe a few journalists and media figures are involved in corruption.,2,Q117
117-03,I believe most journalists and media figures are involved in corruption.,3,Q117
117-04,I believe all journalists and media figures are involved in corruption.,4,Q117
